river,453,83,150,0,0,0,1,0,1,1
tree,128,64,246.0,-32.666668,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,310.0,-32.666668,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,374.0,-32.666668,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,438.0,-32.666668,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,502.0,-32.666668,0.9,0.1,0.9,0.8,0.9,1
saloon,100,140,10,10.5,0.9,0,1,0.2,0.8,1
tree,128,64,278.0,10,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,342.0,10,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,406.0,10,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,470.0,10,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,534.0,10,0.9,0.1,0.9,0.8,0.9,1
house,100,140,450,100,1,0,1,0,1,1
bridge,60,100,145,200,0,0,1,0,1,0
tree,128,64,288.0,242.33333,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,352.0,242.33333,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,416.0,242.33333,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,480.0,242.33333,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,384.0,285,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,448.0,285,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,512.0,285,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,352.0,327.66666,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,416.0,327.66666,0.9,0.1,0.9,0.8,0.9,1
tree,128,64,480.0,327.66666,0.9,0.1,0.9,0.8,0.9,1
workplace,100,140,230,350,0.6,0,0.6,0.6,0.85,1
